CP,Entidad,Municipio,Asentamiento,Ámbito
64985,NL,Monterrey,Fracc. Granadas,Urbano
64985,NL,Monterrey,Fracc. Villa Santa Isabel,Urbano
64985,NL,Monterrey,Fracc. Villa Murano,Urbano
64985,NL,Monterrey,Fracc. Laderas Caranday,Urbano
64986,NL,Monterrey,Fracc. Soria,Urbano
64986,NL,Monterrey,Fracc. Montealbán Residencial,Urbano
64987,NL,Monterrey,Fracc. Catujanes,Urbano
64987,NL,Monterrey,Fracc. Privada la Herradura,Urbano
64987,NL,Monterrey,Fracc. Bosques del Vergel,Urbano
64987,NL,Monterrey,Fracc. Encinos del Vergel,Urbano
64988,NL,Monterrey,Fracc. Privada el Vergel,Urbano
64988,NL,Monterrey,Fracc. Privadas de la Fuente,Urbano
64988,NL,Monterrey,Fracc. Encino Real,Urbano
64988,NL,Monterrey,Fracc. Rincón de la Escondida,Urbano
64988,NL,Monterrey,Fracc. Lomas del Vergel,Urbano
64988,NL,Monterrey,Fracc. Residencial la Escondida,Urbano
64988,NL,Monterrey,Fracc. Residencial Amura,Urbano
64988,NL,Monterrey,Fracc. Paseo del Vergel,Urbano
64988,NL,Monterrey,Fracc. Sierra Escondida,Urbano
64988,NL,Monterrey,Fracc. Colinas del Huajuco,Urbano
64988,NL,Monterrey,Fracc. Privada Villa Real,Urbano
64988,NL,Monterrey,Fracc. Privada el Vergel,Urbano
64988,NL,Monterrey,Fracc. Residencial Amura,Urbano
64988,NL,Monterrey,Fracc. Encino Real,Urbano
64988,NL,Monterrey,Fracc. Residencial la Escondida,Urbano
64988,NL,Monterrey,Fracc. Las Riveras,Urbano
64988,NL,Monterrey,Fracc. Paseo del Vergel,Urbano
64988,NL,Monterrey,Fracc. Bosques de la Estanzuela,Urbano
64988,NL,Monterrey,Fracc. Las Callejas Residencial,Urbano
64989,NL,Monterrey,Fracc. El Portón de Valle Alto,Urbano
64989,NL,Monterrey,Fracc. Rincón de las Montañas (Sierra Alta 8 Sector),Urbano
64989,NL,Monterrey,Fracc. Real de Valle Alto,Urbano
64989,NL,Monterrey,Fracc. Los Milagros de Valle Alto,Urbano
64989,NL,Monterrey,Fracc. Lomas de Hípico,Urbano
64989,NL,Monterrey,Fracc. Áurea Residencial,Urbano
64989,NL,Monterrey,Fracc. Natura,Urbano
64989,NL,Monterrey,Fracc. Villas de Canterias,Urbano
64989,NL,Monterrey,Fracc. Flor de Piedra,Urbano
64989,NL,Monterrey,Fracc. Bosques de Valle Alto,Urbano
64989,NL,Monterrey,Fracc. Rincón de los Ahuehuetes,Urbano
64989,NL,Monterrey,Fracc. Las Jacarandas,Urbano
64989,NL,Monterrey,Fracc. Sierra Alta,Urbano
64989,NL,Monterrey,Fracc. Maestranzas Villas de Providencia,Urbano
64989,NL,Monterrey,Fracc. Lomas del Hipico 1 Sector,Urbano
64989,NL,Monterrey,Fracc. Portal del Huajuco,Urbano
64990,NL,Monterrey,Fracc. Campestre los Cristales,Urbano
64990,NL,Monterrey,Fracc. Campestre Sertoma,Urbano
64990,NL,Monterrey,Fracc. Santa Isabel,Urbano
64990,NL,Monterrey,Fracc. Campestre los Cristales,Urbano
64990,NL,Monterrey,Fracc. Los Cristales Campestre,Urbano
64997,NL,Monterrey,Fracc. Campestre El Barrio,Urbano
